,Artist,Genre,Title
0,Undeath,metal,It's Time...To Rise From the Grave
1,Sonic Youth,experimental,In/Out/In
2,Bonobo,electronic,Fragments
3,eevee,hip-hop/rap,unexpected
4,Jogging House,ambient,Weight
5,Savant,electronic,Krang
6,Red Vox,rock,Visions
7,DANCE WITH THE DEAD,electronic,Driven to Madness
8,Dream Division,electronic,WOLF Narrated by Matthew Holness
9,VR SEX,punk,Rough Dimension
10,Camp Cope,alternative,Running with the Hurricane
11,TYPHOON,alternative,White Lighter
12,JPEGMAFIA,hip-hop/rap,LP!
13,PUP,rock,THE UNRAVELING OF PUPTHEBAND
14,BODYBOX,metal,Through The Bongfire
15,Hatchie,alternative,Giving The World Away
16,Molly Nilsson,pop,Extreme
17,Ignez,,Anahata EP [SK11X11]
18,OVERWERK,electronic,ORIGIN
19,Bucketheadland,rock,Cyborgs Robots & More
20,foxtails,alternative,fawn
21,Shadow Of Intent,metal,Elegy
22,Anna von Hausswolff,classical,Live at Montreux Jazz Festival
23,Brainwaltzera,electronic,ITSAME
24,Night of the Vampire,metal,Eternal Night
25,robert reed,rock,The Ringmaster Part Two - Bonus Disc
26,Del The Funky Homosapien & Kool Keith present FNKPMPN,hip-hop/rap,Subatomic
27,Sofia Kourtesis feat. Manu Chao,electronic,Estación Esperanza
28,haircuts for men,electronic,壊滅悲しみ
29,Balkans,rock,Balkans
30,State Azure,electronic,Hydrostatic
31,Birds ov Paradise,electronic,Memorial
